rank,rank_if_eligible,city_id,name,country,lat,lon,population,elevation_m,tz,microclimate_risk,microclimate_reason,coast_distance_km,relief_m,cell_elev_m,below_threshold,is_reference,comfort_hours_yr,daylight_hours_yr,comfort_fraction,worst_month_hours,best_month_hours,evenness_stat,evenness_method,evenness_factor,longest_bad_streak_days,peak_month,utci_mean_daylight_c,comfort_hours_sun,comfort_hours_shade,elev_offset_k,has_precip,month_01_hours,month_02_hours,month_03_hours,month_04_hours,month_05_hours,month_06_hours,month_07_hours,month_08_hours,month_09_hours,month_10_hours,month_11_hours,month_12_hours,pm25_ugm3,aq_factor,composite
30,31,oaxaca-de-juarez-6183,Oaxaca de Juárez,México,17.065219284214727,-96.72952981995594,510651.7887,1585.13,America/Mexico_City,True,relief,137.0865792235163,1645.0611572265625,1795.7889404296875,False,False,3464.7464661384106,4635.788465048367,0.7473909761545303,250.09831282797109,333.91763555384773,0.09262721769792974,cv,0.9073727823020703,2.0,1,23.59683844316368,2447.1948938445034,3994.751069959526,1.3692831127929679,True,333.91763555384773,292.0072353234009,298.5092361699071,260.29678601687914,258.1418971063485,258.72905504238616,298.8550081483989,277.7843361283392,250.09831282797109,297.55226390704456,311.8992024483684,326.9554974655188,7.61733009708738,1.0,3143.8166409512755
31,32,rabat-2747,Rabat,Morocco,34.000561068032404,-6.825623017449652,2094220.784,51.98,Africa/Casablanca,True,coastal,4.355138200144955,200.62095642089844,56.773746490478516,False,False,3925.819179145669,4767.71577842672,0.8234172005196867,284.05769067254886,414.19010871584726,0.12948637067987975,cv,0.8705136293201202,2.0,5,20.813820762703642,3274.5473026519307,4232.822668100537,0.03115935218811037,True,286.8015103485911,284.05769067254886,344.6015523502827,370.27761225663335,414.19010871584726,390.9898428683419,339.37214896045106,289.41726516538375,300.2754204181855,302.0232446184284,297.91150804245405,305.90127472852134,13.806213592233009,0.9154174757281553,3128.420092625193
32,33,san-francisco-1461,San Francisco,United States,37.57868330126698,-122.09706340335892,4718348.828,41.18,America/Los_Angeles,True,coastal+relief,4.339882522689843,464.0039367675781,47.52170944213867,False,False,4040.0512108805115,4790.848056214638,0.8432851894853562,242.18680993682915,434.6246647946417,0.18766919363853307,cv,0.8123308063614669,3.0,5,18.20374651305447,3510.584482036932,4141.068450884484,0.041221111373901366,True,269.88703100692913,252.031174565436,320.25655155114816,368.4349847907605,434.6246647946417,428.4823541226754,402.5996490567475,374.3909962837641,329.9939056691147,326.7315285662998,290.4315605361649,242.18680993682915,12.20831715210356,0.9509262855088098,3120.8050925433586
33,34,escondido-3045,Escondido,United States,33.173505861334036,-117.20452621147584,449581.3416,152.07,America/Los_Angeles,True,coastal+relief,13.122782375956167,467.8045654296875,159.2511749267578,False,False,3953.738401259545,4774.448804526373,0.8281036331379736,273.5706661595329,428.7747302887661,0.16333491400689754,cv,0.8366650859931024,4.0,5,20.722026032523832,3219.972039786443,4284.8987183424215,0.04667763702392582,True,299.9949926824569,280.80217988468274,337.9741880365257,386.46717406944776,428.7747302887661,423.6125897289375,350.57497549151424,279.9434372495312,273.5706661595329,312.629208660754,289.82247040057297,289.5717886068228,12.621512944983818,0.9417441567781373,3115.24717863983
34,35,antananarivo-1985,Antananarivo,Madagascar,-18.867226010581543,47.53587815812086,4255253.768,1279.93,Indian/Antananarivo,False,,162.60763934672067,278.1162109375,1303.1180419921875,False,False,3606.8082694709356,4682.453002372696,0.7702817876961694,228.87682708986594,353.8945957632607,0.1358662420010576,cv,0.8641337579989424,2.0,9,20.50757752646677,3033.972196771128,3828.431579002849,0.15072227294921833,True,244.75470110628063,228.87682708986594,256.7653928075068,293.2813399843013,343.8308445614416,326.25430611342995,328.8747747093565,341.75335701260354,353.8945957632607,331.33801072429037,278.5609972551638,278.62312234343426,10.11618932038835,0.9974180151024811,3108.717344677453
35,36,cordoba-2335,Cordoba,Argentina,-31.399091022056567,-64.20643996616712,1468196.585,448.1,America/Argentina/Cordoba,False,,575.1778832243805,276.04266357421875,465.2463684082031,False,False,3468.118838243441,4720.584595729148,0.7346799465009378,237.3916543860395,353.24832113057744,0.10398995749418263,cv,0.8960100425058174,2.0,10,19.778886341796834,3010.622890512296,3668.491922771299,0.11145139465332016,True,255.12377228034268,237.3916543860395,291.64201018808586,302.97818112709933,302.1977822229155,265.0807740494581,262.84559567568647,285.11674223971715,318.790897010455,353.24832113057744,307.8410209141131,285.86208701895083,4.919174757281553,1.0,3107.4693076697317
36,37,gqeberha-2045,Gqeberha,South Africa,-33.899322353932135,25.54798898702272,806318.7028,76.92,Africa/Johannesburg,True,coastal,6.555991628671479,225.78076171875,78.7822494506836,False,False,3926.83986159131,4726.5176583318125,0.8308103651467702,240.8425316790646,421.49093935800306,0.18009505040328294,cv,0.819904949596717,4.0,1,15.512555510160576,3785.608014568724,3789.598090166788,0.012104621429443348,True,421.49093935800306,356.54633376014647,357.8701420635593,313.24357624308516,300.8018135131013,247.3207993565596,240.8425316790646,258.3305809094491,292.63199244952,348.5843140532171,374.8657345433272,414.31110366227705,11.588317152103558,0.9647040632865876,3105.9953901045265
37,38,tangier-3886,Tangier,Morocco,35.75153743049888,-5.81509485300621,1300223.171,47.03,Africa/Casablanca,True,coastal,5.3307733713572985,369.76800537109375,53.36809158325195,False,False,3732.4041395465442,4773.24885928089,0.7819420796151085,233.88854782780447,418.34611714791214,0.16850635290096158,cv,0.8314936470990384,3.0,5,18.400050458821475,3294.6575839238108,3882.4465586350693,0.04119759529113769,True,247.0633386980559,233.88854782780447,294.9997307353038,344.8544906359341,418.34611714791214,391.10843214484237,328.55533977489836,280.8596082521986,311.7683129533143,322.52646225221366,289.6088083243598,268.8249507997067,9.42945792880259,1.0,3103.470330439104
38,39,bloemfontein-2436,Bloemfontein,South Africa,-29.160015598828043,26.24176592822548,482751.3551,1406.9,Africa/Johannesburg,False,,413.1759205915692,146.0511474609375,1385.5592041015625,False,False,3425.4598921229285,4715.251505749224,0.7264638774721401,240.99184387510877,327.618038321107,0.09654651322511759,cv,0.9034534867748825,3.0,10,19.131487552498797,2940.5548679228086,3640.6621649579583,-0.13871517333984434,True,270.8963686755405,246.16676895942604,292.60937426447515,301.37334398235544,302.74085228137153,240.99184387510877,247.75295260316548,280.00674829237954,321.2472122683707,327.618038321107,297.6421812672682,296.4142073323603,8.12368932038835,1.0,3094.7436833459724
39,40,sydney-2324,Sydney,Australia,-33.853975720075375,151.07285573238158,4375394.497,47.66,Australia/Sydney,True,coastal,15.819621452745684,175.07484436035156,44.261817932128906,False,False,3581.373126998352,4755.582998722394,0.7530881340858737,244.9958175125555,346.47263780316615,0.11027942621253871,cv,0.8897205737874613,4.0,12,19.42562144900706,3158.64153572627,3744.343575691261,-0.022088183441162087,True,301.5235703774706,252.5000836281067,276.4956142863816,293.5396809452709,297.9851193700738,244.9958175125555,268.04560959674035,299.6903558030104,313.1041125531177,341.68566903637014,345.3348560860883,346.47263780316615,11.415954692556635,0.9685343401654081,3086.158503101058
